P [bar]    mc [ mol/kg]    xw_C   rho_W [kg/m3]   rho_C [kg/m3]    Z_W    Z_C    eps_r    chiw_W    chiw_C    Ndchi1w/dNw    Ndchi1w/dNc   Vdchi1w/dV
2.91   0.0686   0.025411   994.25   4.90    0.002025   0.988203   72.6057    0.0920   0.9966    -0.0707   -0.0503   0.0706
2.97   0.0701   0.024880   994.27   5.01    0.002069   0.987952   72.6015    0.0920   0.9966    -0.0707   -0.0503   0.0706
3.03   0.0716   0.024370   994.28   5.11    0.002113   0.987700   72.5972    0.0920   0.9965    -0.0707   -0.0503   0.0706
3.09   0.0731   0.023881   994.29   5.22    0.002156   0.987448   72.5930    0.0920   0.9965    -0.0707   -0.0503   0.0706
3.16   0.0746   0.023412   994.30   5.33    0.002200   0.987196   72.5888    0.0920   0.9965    -0.0707   -0.0503   0.0706
3.22   0.0761   0.022960   994.32   5.44    0.002244   0.986943   72.5845    0.0920   0.9965    -0.0707   -0.0503   0.0706
3.28   0.0776   0.022526   994.33   5.55    0.002287   0.986691   72.5803    0.0920   0.9965    -0.0707   -0.0503   0.0706
3.34   0.0791   0.022108   994.34   5.66    0.002331   0.986438   72.5760    0.0920   0.9965    -0.0707   -0.0503   0.0706
3.41   0.0806   0.021706   994.35   5.77    0.002374   0.986185   72.5718    0.0920   0.9965    -0.0707   -0.0503   0.0707
3.47   0.0821   0.021318   994.37   5.87    0.002418   0.985931   72.5676    0.0920   0.9965    -0.0707   -0.0503   0.0707
3.53   0.0836   0.020943   994.38   5.98    0.002462   0.985678   72.5634    0.0920   0.9965    -0.0707   -0.0503   0.0707
3.59   0.0851   0.020582   994.39   6.09    0.002505   0.985425   72.5591    0.0920   0.9965    -0.0707   -0.0503   0.0707
3.66   0.0866   0.020233   994.40   6.20    0.002549   0.985171   72.5549    0.0920   0.9965    -0.0707   -0.0503   0.0707
3.72   0.0881   0.019896   994.42   6.31    0.002593   0.984917   72.5507    0.0920   0.9965    -0.0707   -0.0503   0.0707
3.78   0.0896   0.019570   994.43   6.42    0.002636   0.984663   72.5464    0.0920   0.9965    -0.0707   -0.0503   0.0707
3.84   0.0911   0.019254   994.44   6.53    0.002680   0.984409   72.5422    0.0920   0.9965    -0.0707   -0.0503   0.0707
3.91   0.0926   0.018949   994.46   6.64    0.002724   0.984154   72.5380    0.0920   0.9965    -0.0707   -0.0503   0.0707
3.97   0.0941   0.018653   994.47   6.75    0.002767   0.983900   72.5338    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.03   0.0956   0.018366   994.48   6.85    0.002811   0.983645   72.5296    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.09   0.0971   0.018088   994.49   6.96    0.002855   0.983390   72.5254    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.16   0.0986   0.017819   994.51   7.07    0.002898   0.983136   72.5211    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.22   0.1001   0.017557   994.52   7.18    0.002942   0.982881   72.5169    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.28   0.1016   0.017303   994.53   7.29    0.002985   0.982625   72.5127    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.34   0.1031   0.017057   994.54   7.40    0.003029   0.982370   72.5085    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.41   0.1046   0.016817   994.56   7.51    0.003073   0.982115   72.5043    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.47   0.1061   0.016584   994.57   7.62    0.003116   0.981859   72.5001    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.53   0.1076   0.016358   994.58   7.73    0.003160   0.981603   72.4959    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.59   0.1091   0.016138   994.59   7.84    0.003204   0.981348   72.4917    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.66   0.1106   0.015923   994.61   7.95    0.003247   0.981092   72.4875    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.72   0.1121   0.015715   994.62   8.06    0.003291   0.980836   72.4833    0.0920   0.9965    -0.0707   -0.0503   0.0707
4.78   0.1135   0.015511   994.63   8.17    0.003335   0.980579   72.4791    0.0921   0.9965    -0.0707   -0.0503   0.0707
4.91   0.1165   0.015120   994.66   8.39    0.003422   0.980067   72.4707    0.0921   0.9965    -0.0707   -0.0503   0.0707
5.03   0.1195   0.014749   994.68   8.61    0.003510   0.979553   72.4623    0.0921   0.9965    -0.0707   -0.0503   0.0707
5.16   0.1225   0.014395   994.71   8.83    0.003597   0.979040   72.4540    0.0921   0.9965    -0.0707   -0.0503   0.0707
5.28   0.1255   0.014058   994.73   9.05    0.003684   0.978526   72.4456    0.0921   0.9965    -0.0707   -0.0503   0.0707
5.41   0.1285   0.013737   994.76   9.27    0.003772   0.978011   72.4372    0.0921   0.9965    -0.0707   -0.0503   0.0707
5.53   0.1314   0.013430   994.78   9.49    0.003859   0.977496   72.4289    0.0921   0.9965    -0.0708   -0.0503   0.0707
5.66   0.1344   0.013137   994.81   9.71    0.003947   0.976981   72.4205    0.0921   0.9965    -0.0708   -0.0503   0.0707
5.78   0.1374   0.012857   994.83   9.93    0.004034   0.976465   72.4122    0.0921   0.9965    -0.0708   -0.0503   0.0707
5.91   0.1404   0.012588   994.86   10.16    0.004121   0.975949   72.4039    0.0921   0.9965    -0.0708   -0.0503   0.0707
6.03   0.1433   0.012331   994.88   10.38    0.004209   0.975432   72.3955    0.0921   0.9965    -0.0708   -0.0503   0.0707
6.16   0.1463   0.012084   994.91   10.60    0.004296   0.974915   72.3872    0.0921   0.9965    -0.0708   -0.0503   0.0707
6.28   0.1493   0.011847   994.93   10.82    0.004384   0.974397   72.3789    0.0921   0.9965    -0.0708   -0.0503   0.0707
6.41   0.1522   0.011619   994.96   11.05    0.004471   0.973879   72.3706    0.0921   0.9965    -0.0708   -0.0503   0.0707
6.53   0.1552   0.011400   994.98   11.27    0.004559   0.973361   72.3623    0.0921   0.9965    -0.0708   -0.0503   0.0707
6.66   0.1582   0.011189   995.01   11.49    0.004646   0.972842   72.3540    0.0921   0.9965    -0.0708   -0.0503   0.0707
6.78   0.1611   0.010985   995.03   11.72    0.004734   0.972323   72.3457    0.0921   0.9965    -0.0708   -0.0503   0.0707
6.91   0.1641   0.010790   995.06   11.94    0.004821   0.971804   72.3374    0.0921   0.9965    -0.0708   -0.0503   0.0707
7.03   0.1670   0.010601   995.08   12.16    0.004909   0.971284   72.3291    0.0921   0.9965    -0.0708   -0.0503   0.0707
7.16   0.1700   0.010418   995.11   12.39    0.004996   0.970764   72.3209    0.0921   0.9964    -0.0708   -0.0503   0.0707
7.28   0.1729   0.010242   995.13   12.61    0.005084   0.970243   72.3126    0.0921   0.9964    -0.0708   -0.0503   0.0708
7.41   0.1759   0.010072   995.16   12.84    0.005171   0.969722   72.3044    0.0922   0.9964    -0.0708   -0.0503   0.0708
7.53   0.1789   0.009908   995.18   13.06    0.005259   0.969200   72.2961    0.0922   0.9964    -0.0708   -0.0503   0.0708
7.66   0.1818   0.009749   995.21   13.29    0.005346   0.968679   72.2879    0.0922   0.9964    -0.0708   -0.0503   0.0708
7.78   0.1848   0.009595   995.23   13.51    0.005434   0.968156   72.2796    0.0922   0.9964    -0.0708   -0.0503   0.0708
7.91   0.1877   0.009446   995.26   13.74    0.005522   0.967634   72.2714    0.0922   0.9964    -0.0708   -0.0503   0.0708
8.03   0.1906   0.009302   995.28   13.96    0.005609   0.967111   72.2632    0.0922   0.9964    -0.0708   -0.0503   0.0708
8.16   0.1936   0.009161   995.30   14.19    0.005697   0.966587   72.2550    0.0922   0.9964    -0.0708   -0.0503   0.0708
8.28   0.1965   0.009026   995.33   14.42    0.005784   0.966063   72.2468    0.0922   0.9964    -0.0708   -0.0503   0.0708
8.41   0.1995   0.008894   995.35   14.64    0.005872   0.965539   72.2386    0.0922   0.9964    -0.0709   -0.0503   0.0708
8.53   0.2024   0.008766   995.38   14.87    0.005960   0.965015   72.2304    0.0922   0.9964    -0.0709   -0.0503   0.0708
8.66   0.2053   0.008642   995.40   15.10    0.006047   0.964490   72.2222    0.0922   0.9964    -0.0709   -0.0503   0.0708
8.78   0.2083   0.008521   995.43   15.33    0.006135   0.963964   72.2140    0.0922   0.9964    -0.0709   -0.0503   0.0708
8.91   0.2112   0.008404   995.45   15.55    0.006222   0.963439   72.2059    0.0922   0.9964    -0.0709   -0.0503   0.0708
9.03   0.2141   0.008290   995.48   15.78    0.006310   0.962913   72.1977    0.0922   0.9964    -0.0709   -0.0503   0.0708
9.16   0.2171   0.008179   995.50   16.01    0.006398   0.962386   72.1895    0.0922   0.9964    -0.0709   -0.0503   0.0708
9.28   0.2200   0.008071   995.53   16.24    0.006485   0.961859   72.1814    0.0922   0.9964    -0.0709   -0.0503   0.0708
9.41   0.2229   0.007966   995.55   16.47    0.006573   0.961332   72.1732    0.0922   0.9964    -0.0709   -0.0503   0.0708
9.53   0.2258   0.007864   995.58   16.70    0.006661   0.960805   72.1651    0.0922   0.9964    -0.0709   -0.0503   0.0708
9.66   0.2288   0.007764   995.60   16.92    0.006748   0.960277   72.1570    0.0922   0.9964    -0.0709   -0.0503   0.0708
9.78   0.2317   0.007667   995.62   17.15    0.006836   0.959748   72.1489    0.0922   0.9964    -0.0709   -0.0503   0.0708
9.91   0.2346   0.007573   995.65   17.38    0.006924   0.959219   72.1407    0.0922   0.9964    -0.0709   -0.0503   0.0708
10.03   0.2375   0.007480   995.67   17.61    0.007012   0.958690   72.1326    0.0922   0.9964    -0.0709   -0.0503   0.0708
10.16   0.2404   0.007390   995.70   17.84    0.007099   0.958161   72.1245    0.0923   0.9964    -0.0709   -0.0503   0.0708
10.28   0.2434   0.007302   995.72   18.07    0.007187   0.957631   72.1164    0.0923   0.9964    -0.0709   -0.0503   0.0708
10.53   0.2492   0.007133   995.77   18.54    0.007363   0.956570   72.1003    0.0923   0.9964    -0.0709   -0.0503   0.0708
10.78   0.2550   0.006972   995.82   19.00    0.007538   0.955507   72.0841    0.0923   0.9964    -0.0709   -0.0503   0.0708
11.03   0.2608   0.006817   995.87   19.46    0.007714   0.954443   72.0680    0.0923   0.9964    -0.0709   -0.0503   0.0708
11.28   0.2666   0.006670   995.92   19.93    0.007889   0.953377   72.0519    0.0923   0.9963    -0.0710   -0.0503   0.0709
11.53   0.2724   0.006529   995.97   20.39    0.008065   0.952310   72.0359    0.0923   0.9963    -0.0710   -0.0503   0.0709
11.78   0.2782   0.006394   996.01   20.86    0.008241   0.951241   72.0199    0.0923   0.9963    -0.0710   -0.0503   0.0709
12.03   0.2840   0.006265   996.06   21.33    0.008416   0.950171   72.0039    0.0923   0.9963    -0.0710   -0.0503   0.0709
12.28   0.2897   0.006141   996.11   21.80    0.008592   0.949099   71.9879    0.0923   0.9963    -0.0710   -0.0503   0.0709
12.53   0.2955   0.006021   996.16   22.27    0.008768   0.948026   71.9720    0.0923   0.9963    -0.0710   -0.0503   0.0709
12.78   0.3013   0.005907   996.21   22.74    0.008944   0.946951   71.9560    0.0924   0.9963    -0.0710   -0.0503   0.0709
13.03   0.3070   0.005797   996.26   23.21    0.009119   0.945874   71.9402    0.0924   0.9963    -0.0710   -0.0503   0.0709
13.28   0.3128   0.005691   996.30   23.69    0.009295   0.944796   71.9243    0.0924   0.9963    -0.0710   -0.0503   0.0709
13.53   0.3185   0.005589   996.35   24.16    0.009471   0.943716   71.9085    0.0924   0.9963    -0.0710   -0.0503   0.0709
13.78   0.3242   0.005491   996.40   24.64    0.009647   0.942634   71.8927    0.0924   0.9963    -0.0710   -0.0503   0.0709
14.03   0.3300   0.005396   996.45   25.12    0.009823   0.941551   71.8769    0.0924   0.9963    -0.0710   -0.0503   0.0709
14.28   0.3357   0.005304   996.50   25.60    0.009999   0.940466   71.8612    0.0924   0.9963    -0.0711   -0.0503   0.0709
14.53   0.3414   0.005216   996.54   26.07    0.010175   0.939380   71.8455    0.0924   0.9963    -0.0711   -0.0503   0.0709
14.78   0.3471   0.005131   996.59   26.56    0.010351   0.938292   71.8298    0.0924   0.9962    -0.0711   -0.0503   0.0709
15.03   0.3528   0.005048   996.64   27.04    0.010527   0.937202   71.8141    0.0924   0.9962    -0.0711   -0.0503   0.0709
15.28   0.3585   0.004968   996.69   27.52    0.010703   0.936111   71.7985    0.0924   0.9962    -0.0711   -0.0503   0.0710
15.53   0.3641   0.004891   996.73   28.00    0.010880   0.935018   71.7829    0.0924   0.9962    -0.0711   -0.0503   0.0710
15.78   0.3698   0.004816   996.78   28.49    0.011056   0.933923   71.7673    0.0925   0.9962    -0.0711   -0.0503   0.0710
16.03   0.3755   0.004744   996.83   28.98    0.011232   0.932827   71.7518    0.0925   0.9962    -0.0711   -0.0503   0.0710
16.28   0.3811   0.004674   996.88   29.46    0.011408   0.931729   71.7363    0.0925   0.9962    -0.0711   -0.0503   0.0710
16.53   0.3868   0.004605   996.92   29.95    0.011585   0.930629   71.7208    0.0925   0.9962    -0.0711   -0.0503   0.0710
16.78   0.3924   0.004539   996.97   30.44    0.011761   0.929528   71.7054    0.0925   0.9962    -0.0711   -0.0503   0.0710
17.03   0.3981   0.004475   997.02   30.93    0.011937   0.928424   71.6900    0.0925   0.9962    -0.0711   -0.0503   0.0710
17.28   0.4037   0.004413   997.07   31.43    0.012114   0.927319   71.6746    0.0925   0.9962    -0.0712   -0.0503   0.0710
17.53   0.4093   0.004352   997.11   31.92    0.012290   0.926213   71.6592    0.0925   0.9962    -0.0712   -0.0503   0.0710
17.78   0.4149   0.004294   997.16   32.42    0.012466   0.925105   71.6439    0.0925   0.9962    -0.0712   -0.0503   0.0710
18.03   0.4205   0.004237   997.21   32.91    0.012643   0.923994   71.6286    0.0925   0.9962    -0.0712   -0.0503   0.0710
18.28   0.4261   0.004181   997.25   33.41    0.012819   0.922883   71.6133    0.0925   0.9961    -0.0712   -0.0503   0.0710
18.53   0.4317   0.004127   997.30   33.91    0.012996   0.921769   71.5981    0.0926   0.9961    -0.0712   -0.0503   0.0710
18.78   0.4373   0.004074   997.35   34.41    0.013172   0.920653   71.5829    0.0926   0.9961    -0.0712   -0.0503   0.0710
19.03   0.4428   0.004023   997.39   34.91    0.013349   0.919536   71.5677    0.0926   0.9961    -0.0712   -0.0503   0.0710
19.28   0.4484   0.003973   997.44   35.41    0.013526   0.918417   71.5526    0.0926   0.9961    -0.0712   -0.0503   0.0710
19.53   0.4539   0.003924   997.49   35.92    0.013702   0.917296   71.5374    0.0926   0.9961    -0.0712   -0.0503   0.0711
19.78   0.4595   0.003877   997.53   36.42    0.013879   0.916174   71.5224    0.0926   0.9961    -0.0712   -0.0502   0.0711
20.03   0.4650   0.003831   997.58   36.93    0.014056   0.915049   71.5073    0.0926   0.9961    -0.0712   -0.0502   0.0711
20.28   0.4705   0.003786   997.63   37.44    0.014233   0.913923   71.4923    0.0926   0.9961    -0.0712   -0.0502   0.0711
20.53   0.4761   0.003742   997.67   37.95    0.014409   0.912795   71.4773    0.0926   0.9961    -0.0713   -0.0502   0.0711
20.78   0.4816   0.003699   997.72   38.46    0.014586   0.911665   71.4623    0.0926   0.9961    -0.0713   -0.0502   0.0711
21.03   0.4871   0.003657   997.76   38.97    0.014763   0.910533   71.4474    0.0926   0.9961    -0.0713   -0.0502   0.0711
21.28   0.4926   0.003616   997.81   39.48    0.014940   0.909399   71.4325    0.0927   0.9961    -0.0713   -0.0502   0.0711
21.53   0.4981   0.003576   997.86   40.00    0.015117   0.908263   71.4176    0.0927   0.9961    -0.0713   -0.0502   0.0711
21.78   0.5035   0.003537   997.90   40.51    0.015294   0.907126   71.4028    0.0927   0.9960    -0.0713   -0.0502   0.0711
22.03   0.5090   0.003499   997.95   41.03    0.015471   0.905986   71.3880    0.0927   0.9960    -0.0713   -0.0502   0.0711
22.28   0.5145   0.003461   997.99   41.55    0.015648   0.904845   71.3732    0.0927   0.9960    -0.0713   -0.0502   0.0711
22.53   0.5199   0.003425   998.04   42.07    0.015825   0.903702   71.3584    0.0927   0.9960    -0.0713   -0.0502   0.0711
23.03   0.5308   0.003354   998.13   43.12    0.016179   0.901409   71.3290    0.0927   0.9960    -0.0713   -0.0502   0.0711
23.53   0.5416   0.003287   998.22   44.17    0.016533   0.899109   71.2998    0.0927   0.9960    -0.0714   -0.0502   0.0711
24.03   0.5525   0.003222   998.31   45.22    0.016887   0.896800   71.2706    0.0927   0.9960    -0.0714   -0.0502   0.0712
24.53   0.5632   0.003160   998.40   46.28    0.017242   0.894484   71.2416    0.0928   0.9960    -0.0714   -0.0502   0.0712
25.03   0.5740   0.003100   998.49   47.35    0.017596   0.892159   71.2127    0.0928   0.9959    -0.0714   -0.0502   0.0712
25.53   0.5847   0.003043   998.58   48.43    0.017951   0.889827   71.1839    0.0928   0.9959    -0.0714   -0.0502   0.0712
26.03   0.5953   0.002988   998.67   49.51    0.018306   0.887485   71.1553    0.0928   0.9959    -0.0714   -0.0502   0.0712
26.53   0.6060   0.002935   998.76   50.59    0.018661   0.885136   71.1267    0.0928   0.9959    -0.0714   -0.0502   0.0712
27.03   0.6166   0.002884   998.85   51.69    0.019016   0.882777   71.0984    0.0928   0.9959    -0.0715   -0.0502   0.0712
27.53   0.6271   0.002834   998.94   52.79    0.019371   0.880410   71.0701    0.0929   0.9959    -0.0715   -0.0502   0.0712
28.03   0.6377   0.002787   999.02   53.89    0.019726   0.878034   71.0420    0.0929   0.9958    -0.0715   -0.0502   0.0713
28.53   0.6481   0.002741   999.11   55.00    0.020082   0.875650   71.0140    0.0929   0.9958    -0.0715   -0.0502   0.0713
29.03   0.6586   0.002697   999.20   56.12    0.020437   0.873256   70.9861    0.0929   0.9958    -0.0715   -0.0502   0.0713
29.53   0.6690   0.002654   999.29   57.25    0.020793   0.870853   70.9584    0.0929   0.9958    -0.0715   -0.0502   0.0713
30.03   0.6794   0.002613   999.37   58.38    0.021148   0.868441   70.9308    0.0929   0.9958    -0.0716   -0.0502   0.0713
30.53   0.6897   0.002573   999.46   59.52    0.021504   0.866019   70.9033    0.0930   0.9958    -0.0716   -0.0502   0.0713
31.03   0.7000   0.002535   999.55   60.67    0.021860   0.863588   70.8760    0.0930   0.9957    -0.0716   -0.0502   0.0713
31.53   0.7103   0.002497   999.63   61.82    0.022216   0.861147   70.8488    0.0930   0.9957    -0.0716   -0.0502   0.0713
32.03   0.7205   0.002461   999.72   62.98    0.022572   0.858696   70.8217    0.0930   0.9957    -0.0716   -0.0502   0.0713
32.53   0.7307   0.002426   999.81   64.15    0.022928   0.856236   70.7947    0.0930   0.9957    -0.0716   -0.0502   0.0714
33.03   0.7408   0.002392   999.89   65.32    0.023285   0.853765   70.7679    0.0930   0.9957    -0.0716   -0.0502   0.0714
33.53   0.7509   0.002359   999.98   66.51    0.023641   0.851284   70.7413    0.0931   0.9956    -0.0717   -0.0502   0.0714
34.03   0.7610   0.002327   1000.06   67.70    0.023997   0.848793   70.7148    0.0931   0.9956    -0.0717   -0.0502   0.0714
34.53   0.7710   0.002296   1000.14   68.90    0.024354   0.846291   70.6884    0.0931   0.9956    -0.0717   -0.0502   0.0714
35.03   0.7809   0.002265   1000.23   70.10    0.024711   0.843779   70.6621    0.0931   0.9956    -0.0717   -0.0502   0.0714
35.53   0.7909   0.002236   1000.31   71.32    0.025067   0.841256   70.6360    0.0931   0.9956    -0.0717   -0.0502   0.0714
36.03   0.8008   0.002208   1000.40   72.54    0.025424   0.838721   70.6100    0.0931   0.9955    -0.0717   -0.0502   0.0714
36.53   0.8106   0.002180   1000.48   73.77    0.025781   0.836176   70.5842    0.0931   0.9955    -0.0717   -0.0502   0.0714
37.03   0.8204   0.002153   1000.56   75.01    0.026138   0.833619   70.5585    0.0932   0.9955    -0.0718   -0.0502   0.0714
37.53   0.8302   0.002126   1000.64   76.26    0.026495   0.831051   70.5329    0.0932   0.9955    -0.0718   -0.0502   0.0715
38.03   0.8399   0.002101   1000.73   77.52    0.026853   0.828471   70.5075    0.0932   0.9955    -0.0718   -0.0502   0.0715
38.53   0.8496   0.002076   1000.81   78.79    0.027210   0.825879   70.4822    0.0932   0.9954    -0.0718   -0.0502   0.0715
39.03   0.8593   0.002052   1000.89   80.06    0.027567   0.823275   70.4571    0.0932   0.9954    -0.0718   -0.0502   0.0715
39.53   0.8688   0.002028   1000.97   81.35    0.027925   0.820659   70.4321    0.0932   0.9954    -0.0718   -0.0502   0.0715
40.03   0.8784   0.002005   1001.05   82.64    0.028282   0.818030   70.4073    0.0933   0.9954    -0.0718   -0.0502   0.0715
40.53   0.8879   0.001982   1001.13   83.95    0.028640   0.815389   70.3826    0.0933   0.9954    -0.0719   -0.0502   0.0715
41.03   0.8974   0.001960   1001.21   85.26    0.028998   0.812734   70.3580    0.0933   0.9953    -0.0719   -0.0502   0.0715
41.53   0.9068   0.001939   1001.29   86.59    0.029356   0.810067   70.3336    0.0933   0.9953    -0.0719   -0.0502   0.0715
42.03   0.9162   0.001918   1001.37   87.92    0.029714   0.807386   70.3093    0.0933   0.9953    -0.0719   -0.0502   0.0715
42.53   0.9255   0.001897   1001.45   89.27    0.030072   0.804692   70.2852    0.0933   0.9953    -0.0719   -0.0502   0.0716
43.03   0.9348   0.001877   1001.53   90.62    0.030430   0.801984   70.2613    0.0933   0.9952    -0.0719   -0.0502   0.0716
43.53   0.9440   0.001858   1001.61   91.99    0.030788   0.799262   70.2374    0.0934   0.9952    -0.0719   -0.0502   0.0716
44.03   0.9532   0.001839   1001.69   93.37    0.031146   0.796526   70.2138    0.0934   0.9952    -0.0720   -0.0502   0.0716
