P [bar]    mc [ mol/kg]    xw_C   rho_W [kg/m3]   rho_C [kg/m3]    Z_W    Z_C    eps_r    chiw_W    chiw_C    Ndchi1w/dNw    Ndchi1w/dNc   Vdchi1w/dV
44.53   0.9623   0.001820   1001.77   94.75    0.031504   0.793775   70.1902    0.0934   0.9952    -0.0720   -0.0502   0.0716
45.03   0.9714   0.001802   1001.84   96.15    0.031863   0.791009   70.1668    0.0934   0.9952    -0.0720   -0.0502   0.0716
45.53   0.9805   0.001784   1001.92   97.57    0.032221   0.788228   70.1436    0.0934   0.9951    -0.0720   -0.0502   0.0716
46.03   0.9895   0.001767   1002.00   98.99    0.032580   0.785432   70.1205    0.0934   0.9951    -0.0720   -0.0502   0.0716
46.53   0.9984   0.001750   1002.07   100.43    0.032938   0.782620   70.0976    0.0934   0.9951    -0.0720   -0.0502   0.0716
47.03   1.0073   0.001733   1002.15   101.87    0.033297   0.779792   70.0748    0.0934   0.9951    -0.0720   -0.0502   0.0716
47.53   1.0162   0.001717   1002.23   103.33    0.033656   0.776948   70.0522    0.0935   0.9950    -0.0720   -0.0502   0.0717
48.03   1.0250   0.001701   1002.30   104.81    0.034014   0.774087   70.0297    0.0935   0.9950    -0.0721   -0.0502   0.0717
48.53   1.0337   0.001685   1002.38   106.30    0.034373   0.771210   70.0074    0.0935   0.9950    -0.0721   -0.0502   0.0717
49.03   1.0424   0.001669   1002.45   107.80    0.034732   0.768315   69.9853    0.0935   0.9949    -0.0721   -0.0502   0.0717
49.53   1.0511   0.001654   1002.53   109.31    0.035091   0.765402   69.9633    0.0935   0.9949    -0.0721   -0.0502   0.0717
50.03   1.0597   0.001640   1002.60   110.84    0.035450   0.762471   69.9414    0.0935   0.9949    -0.0721   -0.0502   0.0717
50.53   1.0683   0.001625   1002.67   112.38    0.035809   0.759522   69.9197    0.0935   0.9949    -0.0721   -0.0502   0.0717
51.03   1.0768   0.001611   1002.75   113.94    0.036168   0.756555   69.8982    0.0936   0.9948    -0.0721   -0.0502   0.0717
51.53   1.0852   0.001597   1002.82   115.51    0.036528   0.753568   69.8768    0.0936   0.9948    -0.0721   -0.0502   0.0717
52.03   1.0936   0.001583   1002.89   117.10    0.036887   0.750561   69.8556    0.0936   0.9948    -0.0722   -0.0502   0.0717
52.53   1.1020   0.001570   1002.97   118.71    0.037246   0.747535   69.8345    0.0936   0.9948    -0.0722   -0.0502   0.0717
53.03   1.1103   0.001557   1003.04   120.33    0.037606   0.744487   69.8136    0.0936   0.9947    -0.0722   -0.0502   0.0718
53.53   1.1185   0.001544   1003.11   121.97    0.037965   0.741419   69.7929    0.0936   0.9947    -0.0722   -0.0502   0.0718
54.03   1.1267   0.001531   1003.18   123.62    0.038325   0.738330   69.7723    0.0936   0.9947    -0.0722   -0.0502   0.0718
54.53   1.1348   0.001519   1003.25   125.30    0.038684   0.735218   69.7519    0.0936   0.9946    -0.0722   -0.0502   0.0718
55.03   1.1429   0.001507   1003.32   126.99    0.039044   0.732084   69.7317    0.0937   0.9946    -0.0722   -0.0502   0.0718
55.53   1.1509   0.001495   1003.39   128.70    0.039403   0.728927   69.7116    0.0937   0.9946    -0.0722   -0.0502   0.0718
56.03   1.1589   0.001483   1003.46   130.43    0.039763   0.725746   69.6917    0.0937   0.9945    -0.0723   -0.0502   0.0718
56.53   1.1668   0.001471   1003.53   132.17    0.040123   0.722541   69.6719    0.0937   0.9945    -0.0723   -0.0502   0.0718
57.03   1.1747   0.001460   1003.60   133.94    0.040483   0.719311   69.6523    0.0937   0.9945    -0.0723   -0.0502   0.0718
57.53   1.1825   0.001449   1003.67   135.73    0.040842   0.716056   69.6329    0.0937   0.9944    -0.0723   -0.0502   0.0718
58.03   1.1902   0.001438   1003.74   137.54    0.041202   0.712774   69.6136    0.0937   0.9944    -0.0723   -0.0502   0.0718
58.53   1.1979   0.001427   1003.81   139.38    0.041562   0.709466   69.5946    0.0937   0.9944    -0.0723   -0.0502   0.0718
59.03   1.2056   0.001416   1003.88   141.23    0.041922   0.706129   69.5756    0.0937   0.9943    -0.0723   -0.0502   0.0719
59.53   1.2132   0.001406   1003.94   143.11    0.042282   0.702765   69.5569    0.0938   0.9943    -0.0723   -0.0502   0.0719
60.03   1.2207   0.001395   1004.01   145.01    0.042642   0.699371   69.5383    0.0938   0.9943    -0.0723   -0.0502   0.0719
60.53   1.2281   0.001385   1004.08   146.94    0.043002   0.695947   69.5199    0.0938   0.9942    -0.0724   -0.0502   0.0719
61.03   1.2355   0.001375   1004.14   148.90    0.043362   0.692492   69.5017    0.0938   0.9942    -0.0724   -0.0502   0.0719
61.53   1.2429   0.001365   1004.21   150.88    0.043722   0.689005   69.4837    0.0938   0.9942    -0.0724   -0.0502   0.0719
62.03   1.2502   0.001355   1004.28   152.88    0.044083   0.685485   69.4658    0.0938   0.9941    -0.0724   -0.0502   0.0719
62.53   1.2574   0.001346   1004.34   154.92    0.044443   0.681931   69.4481    0.0938   0.9941    -0.0724   -0.0502   0.0719
63.03   1.2646   0.001337   1004.41   156.99    0.044803   0.678342   69.4306    0.0938   0.9940    -0.0724   -0.0502   0.0719
63.53   1.2717   0.001327   1004.47   159.08    0.045163   0.674716   69.4132    0.0938   0.9940    -0.0724   -0.0502   0.0719
64.03   1.2787   0.001318   1004.53   161.21    0.045523   0.671054   69.3961    0.0939   0.9939    -0.0724   -0.0502   0.0719
64.53   1.2857   0.001309   1004.60   163.37    0.045884   0.667352   69.3791    0.0939   0.9939    -0.0724   -0.0502   0.0719
65.03   1.2926   0.001300   1004.66   165.57    0.046244   0.663610   69.3623    0.0939   0.9939    -0.0725   -0.0502   0.0719
65.53   1.2994   0.001291   1004.72   167.80    0.046604   0.659827   69.3457    0.0939   0.9938    -0.0725   -0.0502   0.0720
66.03   1.3062   0.001283   1004.79   170.06    0.046965   0.656001   69.3292    0.0939   0.9938    -0.0725   -0.0502   0.0720
66.53   1.3130   0.001274   1004.85   172.37    0.047325   0.652130   69.3130    0.0939   0.9937    -0.0725   -0.0502   0.0720
67.03   1.3196   0.001266   1004.91   174.72    0.047685   0.648212   69.2969    0.0939   0.9937    -0.0725   -0.0502   0.0720
67.53   1.3262   0.001258   1004.97   177.10    0.048046   0.644246   69.2810    0.0939   0.9936    -0.0725   -0.0502   0.0720
68.03   1.3327   0.001249   1005.03   179.54    0.048406   0.640230   69.2654    0.0939   0.9936    -0.0725   -0.0502   0.0720
68.53   1.3392   0.001241   1005.09   182.01    0.048767   0.636161   69.2499    0.0939   0.9935    -0.0725   -0.0502   0.0720
69.03   1.3456   0.001233   1005.15   184.54    0.049127   0.632037   69.2346    0.0939   0.9935    -0.0725   -0.0502   0.0720
69.53   1.3519   0.001225   1005.21   187.11    0.049487   0.627857   69.2195    0.0940   0.9934    -0.0725   -0.0502   0.0720
70.03   1.3582   0.001217   1005.27   189.74    0.049848   0.623616   69.2046    0.0940   0.9934    -0.0725   -0.0502   0.0720
70.53   1.3644   0.001210   1005.33   192.42    0.050208   0.619313   69.1898    0.0940   0.9933    -0.0726   -0.0502   0.0720
71.03   1.3705   0.001202   1005.39   195.17    0.050569   0.614945   69.1753    0.0940   0.9933    -0.0726   -0.0502   0.0720
71.53   1.3765   0.001195   1005.44   197.97    0.050929   0.610507   69.1610    0.0940   0.9932    -0.0726   -0.0502   0.0720
72.03   1.3825   0.001187   1005.50   200.84    0.051289   0.605997   69.1469    0.0940   0.9931    -0.0726   -0.0502   0.0720
72.53   1.3884   0.001180   1005.56   203.77    0.051650   0.601411   69.1330    0.0940   0.9931    -0.0726   -0.0502   0.0720
73.03   1.3942   0.001172   1005.61   206.78    0.052010   0.596744   69.1193    0.0940   0.9930    -0.0726   -0.0502   0.0721
73.53   1.4000   0.001165   1005.67   209.87    0.052370   0.591991   69.1058    0.0940   0.9929    -0.0726   -0.0502   0.0721
74.03   1.4057   0.001158   1005.73   213.04    0.052731   0.587149   69.0926    0.0940   0.9929    -0.0726   -0.0502   0.0721
74.53   1.4113   0.001151   1005.78   216.30    0.053091   0.582210   69.0795    0.0940   0.9928    -0.0726   -0.0502   0.0721
75.03   1.4168   0.001144   1005.83   219.66    0.053452   0.577170   69.0667    0.0941   0.9927    -0.0726   -0.0502   0.0721
75.53   1.4222   0.001137   1005.89   223.11    0.053812   0.572020   69.0540    0.0941   0.9927    -0.0726   -0.0502   0.0721
76.03   1.4276   0.001130   1005.94   226.68    0.054172   0.566753   69.0416    0.0941   0.9926    -0.0726   -0.0502   0.0721
76.53   1.4329   0.001123   1006.00   230.36    0.054532   0.561362   69.0295    0.0941   0.9925    -0.0727   -0.0502   0.0721
77.03   1.4381   0.001116   1006.05   234.17    0.054893   0.555835   69.0175    0.0941   0.9924    -0.0727   -0.0502   0.0721
77.53   1.4432   0.001109   1006.10   238.12    0.055253   0.550162   69.0058    0.0941   0.9923    -0.0727   -0.0502   0.0721
78.03   1.4482   0.001102   1006.15   242.23    0.055613   0.544331   68.9944    0.0941   0.9922    -0.0727   -0.0502   0.0721
78.53   1.4532   0.001095   1006.20   246.50    0.055973   0.538327   68.9831    0.0941   0.9921    -0.0727   -0.0502   0.0721
79.03   1.4580   0.001088   1006.25   250.96    0.056333   0.532133   68.9722    0.0941   0.9920    -0.0727   -0.0502   0.0721
79.53   1.4628   0.001081   1006.30   255.62    0.056693   0.525731   68.9614    0.0941   0.9919    -0.0727   -0.0502   0.0721
80.03   1.4675   0.001074   1006.35   260.52    0.057053   0.519098   68.9510    0.0941   0.9918    -0.0727   -0.0502   0.0721
80.53   1.4720   0.001068   1006.40   265.67    0.057413   0.512206   68.9408    0.0941   0.9917    -0.0727   -0.0502   0.0721
81.03   1.4765   0.001061   1006.45   271.12    0.057773   0.505024   68.9309    0.0941   0.9916    -0.0727   -0.0502   0.0721
81.53   1.4809   0.001054   1006.50   276.92    0.058133   0.497512   68.9212    0.0941   0.9914    -0.0727   -0.0502   0.0721
82.03   1.4851   0.001047   1006.54   283.11    0.058492   0.489621   68.9119    0.0941   0.9913    -0.0727   -0.0502   0.0721
82.53   1.4893   0.001039   1006.59   289.76    0.058852   0.481289   68.9028    0.0941   0.9911    -0.0727   -0.0502   0.0721
83.03   1.4933   0.001032   1006.63   296.98    0.059212   0.472439   68.8941    0.0942   0.9909    -0.0727   -0.0502   0.0722
83.53   1.4972   0.001024   1006.68   304.88    0.059571   0.462967   68.8857    0.0942   0.9908    -0.0727   -0.0502   0.0722
84.03   1.5010   0.001017   1006.72   313.64    0.059930   0.452734   68.8777    0.0942   0.9905    -0.0728   -0.0502   0.0722
84.53   1.5047   0.001009   1006.77   323.51    0.060290   0.441545   68.8700    0.0942   0.9903    -0.0728   -0.0502   0.0722
85.03   1.5082   0.001000   1006.81   334.84    0.060649   0.429123   68.8628    0.0942   0.9900    -0.0728   -0.0502   0.0722
85.53   1.5115   0.000991   1006.85   348.22    0.061008   0.415059   68.8560    0.0942   0.9897    -0.0728   -0.0502   0.0722
86.03   1.5147   0.000980   1006.89   364.58    0.061366   0.398761   68.8497    0.0942   0.9892    -0.0728   -0.0502   0.0722
86.53   1.5176   0.000969   1006.93   385.24    0.061725   0.379567   68.8440    0.0942   0.9887    -0.0728   -0.0502   0.0722
87.03   1.5203   0.000957   1006.96   410.89    0.062083   0.357931   68.8389    0.0942   0.9880    -0.0728   -0.0502   0.0722
87.53   1.5227   0.000946   1007.00   437.76    0.062441   0.337898   68.8346    0.0942   0.9873    -0.0728   -0.0502   0.0722
88.03   1.5249   0.000937   1007.03   460.27    0.062799   0.323209   68.8308    0.0942   0.9867    -0.0728   -0.0502   0.0722
88.53   1.5270   0.000931   1007.07   477.84    0.063157   0.313093   68.8274    0.0942   0.9862    -0.0728   -0.0502   0.0722
89.03   1.5290   0.000926   1007.10   491.89    0.063514   0.305867   68.8243    0.0942   0.9858    -0.0728   -0.0502   0.0722
89.53   1.5309   0.000922   1007.13   503.56    0.063872   0.300456   68.8214    0.0942   0.9855    -0.0728   -0.0502   0.0722
90.03   1.5327   0.000919   1007.17   513.56    0.064229   0.296253   68.8187    0.0942   0.9852    -0.0728   -0.0502   0.0722
90.53   1.5344   0.000916   1007.20   522.33    0.064587   0.292897   68.8162    0.0942   0.9849    -0.0728   -0.0502   0.0722
91.03   1.5362   0.000914   1007.23   530.16    0.064944   0.290164   68.8138    0.0942   0.9847    -0.0728   -0.0502   0.0722
91.53   1.5378   0.000912   1007.26   537.26    0.065301   0.287906   68.8115    0.0942   0.9845    -0.0728   -0.0502   0.0722
92.03   1.5395   0.000910   1007.29   543.75    0.065659   0.286021   68.8092    0.0942   0.9843    -0.0728   -0.0502   0.0722
92.53   1.5411   0.000908   1007.32   549.76    0.066016   0.284434   68.8071    0.0942   0.9842    -0.0728   -0.0502   0.0722
93.03   1.5427   0.000906   1007.35   555.35    0.066373   0.283094   68.8051    0.0942   0.9840    -0.0728   -0.0502   0.0722
93.53   1.5442   0.000904   1007.38   560.58    0.066730   0.281958   68.8031    0.0942   0.9839    -0.0728   -0.0502   0.0722
94.03   1.5457   0.000903   1007.41   565.51    0.067087   0.280996   68.8012    0.0942   0.9837    -0.0728   -0.0502   0.0722
94.53   1.5472   0.000901   1007.44   570.17    0.067444   0.280181   68.7994    0.0942   0.9836    -0.0728   -0.0502   0.0722
95.03   1.5487   0.000900   1007.47   574.59    0.067802   0.279494   68.7976    0.0942   0.9835    -0.0728   -0.0502   0.0722
95.53   1.5502   0.000899   1007.50   578.81    0.068159   0.278919   68.7959    0.0942   0.9834    -0.0728   -0.0502   0.0722
96.03   1.5516   0.000897   1007.53   582.83    0.068516   0.278442   68.7942    0.0942   0.9833    -0.0728   -0.0502   0.0722
96.53   1.5531   0.000896   1007.56   586.69    0.068873   0.278052   68.7926    0.0942   0.9831    -0.0728   -0.0502   0.0722
97.03   1.5545   0.000895   1007.59   590.39    0.069230   0.277739   68.7910    0.0942   0.9830    -0.0728   -0.0502   0.0722
97.53   1.5559   0.000894   1007.62   593.96    0.069587   0.277496   68.7894    0.0942   0.9829    -0.0728   -0.0502   0.0722
98.03   1.5572   0.000893   1007.65   597.39    0.069944   0.277315   68.7879    0.0942   0.9829    -0.0728   -0.0502   0.0722
98.53   1.5586   0.000892   1007.68   600.71    0.070301   0.277191   68.7865    0.0942   0.9828    -0.0728   -0.0502   0.0722
99.03   1.5600   0.000891   1007.71   603.92    0.070658   0.277118   68.7850    0.0942   0.9827    -0.0728   -0.0502   0.0722
99.53   1.5613   0.000890   1007.74   607.02    0.071015   0.277092   68.7837    0.0942   0.9826    -0.0728   -0.0502   0.0722
100.03   1.5626   0.000889   1007.77   610.04    0.071371   0.277108   68.7823    0.0942   0.9825    -0.0728   -0.0502   0.0722
100.53   1.5639   0.000888   1007.80   612.96    0.071728   0.277164   68.7810    0.0942   0.9824    -0.0728   -0.0502   0.0722
101.03   1.5652   0.000887   1007.83   615.81    0.072085   0.277256   68.7797    0.0942   0.9823    -0.0728   -0.0502   0.0722
101.53   1.5665   0.000886   1007.85   618.57    0.072442   0.277382   68.7784    0.0942   0.9823    -0.0728   -0.0502   0.0722
102.03   1.5678   0.000885   1007.88   621.27    0.072799   0.277539   68.7772    0.0942   0.9822    -0.0728   -0.0502   0.0722
102.53   1.5691   0.000884   1007.91   623.90    0.073156   0.277724   68.7760    0.0942   0.9821    -0.0728   -0.0502   0.0722
103.03   1.5703   0.000883   1007.94   626.46    0.073513   0.277936   68.7748    0.0942   0.9821    -0.0729   -0.0502   0.0722
103.53   1.5716   0.000882   1007.97   628.97    0.073870   0.278173   68.7736    0.0942   0.9820    -0.0729   -0.0502   0.0722
104.03   1.5728   0.000881   1008.00   631.41    0.074226   0.278433   68.7725    0.0942   0.9819    -0.0729   -0.0502   0.0722
104.53   1.5741   0.000881   1008.03   633.81    0.074583   0.278716   68.7714    0.0942   0.9819    -0.0729   -0.0502   0.0722
105.03   1.5753   0.000880   1008.05   636.15    0.074940   0.279018   68.7703    0.0942   0.9818    -0.0729   -0.0502   0.0722
105.53   1.5765   0.000879   1008.08   638.44    0.075297   0.279340   68.7692    0.0942   0.9817    -0.0729   -0.0502   0.0722
106.03   1.5777   0.000878   1008.11   640.69    0.075654   0.279679   68.7682    0.0942   0.9817    -0.0729   -0.0502   0.0722
106.53   1.5789   0.000878   1008.14   642.89    0.076010   0.280036   68.7672    0.0942   0.9816    -0.0729   -0.0502   0.0722
107.03   1.5801   0.000877   1008.17   645.05    0.076367   0.280408   68.7662    0.0942   0.9815    -0.0729   -0.0502   0.0722
107.53   1.5813   0.000876   1008.20   647.17    0.076724   0.280796   68.7652    0.0942   0.9815    -0.0729   -0.0502   0.0722
108.03   1.5825   0.000875   1008.22   649.25    0.077081   0.281198   68.7642    0.0942   0.9814    -0.0729   -0.0502   0.0722
108.53   1.5836   0.000875   1008.25   651.29    0.077437   0.281613   68.7633    0.0942   0.9814    -0.0729   -0.0502   0.0722
109.03   1.5848   0.000874   1008.28   653.30    0.077794   0.282042   68.7623    0.0942   0.9813    -0.0729   -0.0502   0.0722
109.53   1.5860   0.000873   1008.31   655.27    0.078151   0.282482   68.7614    0.0942   0.9813    -0.0729   -0.0502   0.0722
110.03   1.5871   0.000873   1008.34   657.21    0.078508   0.282934   68.7606    0.0942   0.9812    -0.0729   -0.0502   0.0722
110.53   1.5883   0.000872   1008.36   659.12    0.078864   0.283397   68.7597    0.0942   0.9812    -0.0729   -0.0502   0.0722
111.03   1.5894   0.000871   1008.39   661.00    0.079221   0.283870   68.7588    0.0942   0.9811    -0.0729   -0.0502   0.0722
111.53   1.5905   0.000871   1008.42   662.85    0.079578   0.284353   68.7580    0.0942   0.9811    -0.0729   -0.0502   0.0722
112.03   1.5916   0.000870   1008.45   664.67    0.079934   0.284846   68.7572    0.0942   0.9810    -0.0729   -0.0502   0.0722
112.53   1.5928   0.000869   1008.47   666.46    0.080291   0.285347   68.7564    0.0942   0.9810    -0.0729   -0.0502   0.0722
113.03   1.5939   0.000869   1008.50   668.23    0.080648   0.285857   68.7556    0.0942   0.9809    -0.0729   -0.0502   0.0723
113.53   1.5950   0.000868   1008.53   669.97    0.081004   0.286376   68.7548    0.0942   0.9809    -0.0729   -0.0502   0.0723
114.03   1.5961   0.000867   1008.56   671.69    0.081361   0.286902   68.7541    0.0942   0.9808    -0.0729   -0.0502   0.0723
114.53   1.5972   0.000867   1008.59   673.38    0.081718   0.287436   68.7533    0.0942   0.9808    -0.0729   -0.0502   0.0723
115.03   1.5983   0.000866   1008.61   675.05    0.082074   0.287977   68.7526    0.0942   0.9807    -0.0729   -0.0502   0.0723
115.53   1.5994   0.000866   1008.64   676.70    0.082431   0.288524   68.7519    0.0942   0.9807    -0.0729   -0.0502   0.0723
116.03   1.6004   0.000865   1008.67   678.32    0.082787   0.289079   68.7512    0.0942   0.9807    -0.0729   -0.0502   0.0723
116.53   1.6015   0.000864   1008.70   679.93    0.083144   0.289639   68.7505    0.0942   0.9806    -0.0729   -0.0502   0.0723
117.03   1.6026   0.000864   1008.72   681.51    0.083501   0.290206   68.7498    0.0942   0.9806    -0.0729   -0.0502   0.0723
117.53   1.6037   0.000863   1008.75   683.07    0.083857   0.290779   68.7491    0.0942   0.9805    -0.0729   -0.0502   0.0723
118.03   1.6047   0.000863   1008.78   684.62    0.084214   0.291357   68.7485    0.0942   0.9805    -0.0729   -0.0502   0.0723
118.53   1.6058   0.000862   1008.80   686.15    0.084570   0.291940   68.7479    0.0942   0.9804    -0.0729   -0.0503   0.0723
119.03   1.6068   0.000862   1008.83   687.65    0.084927   0.292529   68.7472    0.0942   0.9804    -0.0729   -0.0503   0.0723
119.53   1.6079   0.000861   1008.86   689.14    0.085283   0.293122   68.7466    0.0942   0.9804    -0.0729   -0.0503   0.0723
120.03   1.6089   0.000861   1008.89   690.62    0.085640   0.293720   68.7460    0.0942   0.9803    -0.0729   -0.0503   0.0723
120.53   1.6099   0.000860   1008.91   692.07    0.085997   0.294323   68.7454    0.0942   0.9803    -0.0729   -0.0503   0.0723
121.03   1.6110   0.000859   1008.94   693.51    0.086353   0.294931   68.7448    0.0942   0.9803    -0.0729   -0.0503   0.0723
121.53   1.6120   0.000859   1008.97   694.94    0.086710   0.295542   68.7443    0.0942   0.9802    -0.0729   -0.0503   0.0723
122.03   1.6130   0.000858   1009.00   696.35    0.087066   0.296158   68.7437    0.0942   0.9802    -0.0729   -0.0503   0.0723
122.53   1.6141   0.000858   1009.02   697.74    0.087423   0.296777   68.7432    0.0942   0.9801    -0.0729   -0.0503   0.0723
123.03   1.6151   0.000857   1009.05   699.12    0.087779   0.297401   68.7426    0.0942   0.9801    -0.0729   -0.0503   0.0723
123.53   1.6161   0.000857   1009.08   700.48    0.088136   0.298028   68.7421    0.0942   0.9801    -0.0729   -0.0503   0.0723
124.03   1.6171   0.000856   1009.10   701.83    0.088492   0.298658   68.7416    0.0942   0.9800    -0.0729   -0.0503   0.0723
124.53   1.6181   0.000856   1009.13   703.17    0.088848   0.299292   68.7411    0.0942   0.9800    -0.0729   -0.0503   0.0723
125.03   1.6191   0.000855   1009.16   704.49    0.089205   0.299930   68.7406    0.0942   0.9800    -0.0729   -0.0503   0.0723
125.53   1.6201   0.000855   1009.18   705.81    0.089561   0.300570   68.7401    0.0942   0.9799    -0.0729   -0.0503   0.0723
126.03   1.6211   0.000854   1009.21   707.10    0.089918   0.301214   68.7397    0.0942   0.9799    -0.0729   -0.0503   0.0723
126.53   1.6221   0.000854   1009.24   708.39    0.090274   0.301860   68.7392    0.0942   0.9799    -0.0729   -0.0503   0.0723
127.03   1.6231   0.000853   1009.26   709.66    0.090631   0.302510   68.7387    0.0942   0.9798    -0.0729   -0.0503   0.0723
127.53   1.6240   0.000853   1009.29   710.92    0.090987   0.303162   68.7383    0.0942   0.9798    -0.0729   -0.0503   0.0723
128.03   1.6250   0.000852   1009.32   712.17    0.091343   0.303817   68.7379    0.0942   0.9798    -0.0729   -0.0503   0.0723
128.53   1.6260   0.000852   1009.35   713.41    0.091700   0.304474   68.7374    0.0942   0.9797    -0.0729   -0.0503   0.0723
129.03   1.6270   0.000851   1009.37   714.63    0.092056   0.305134   68.7370    0.0942   0.9797    -0.0729   -0.0503   0.0723
129.53   1.6279   0.000851   1009.40   715.85    0.092413   0.305797   68.7366    0.0942   0.9797    -0.0729   -0.0503   0.0723
130.03   1.6289   0.000850   1009.43   717.05    0.092769   0.306462   68.7362    0.0942   0.9797    -0.0729   -0.0503   0.0723
130.53   1.6299   0.000850   1009.45   718.25    0.093125   0.307129   68.7358    0.0942   0.9796    -0.0729   -0.0503   0.0723
131.03   1.6308   0.000849   1009.48   719.43    0.093482   0.307798   68.7354    0.0942   0.9796    -0.0729   -0.0503   0.0723
131.53   1.6318   0.000849   1009.51   720.60    0.093838   0.308470   68.7351    0.0942   0.9796    -0.0729   -0.0503   0.0723
132.03   1.6327   0.000848   1009.53   721.77    0.094194   0.309143   68.7347    0.0942   0.9795    -0.0729   -0.0503   0.0723
132.53   1.6337   0.000848   1009.56   722.92    0.094551   0.309819   68.7344    0.0942   0.9795    -0.0729   -0.0503   0.0723
133.03   1.6346   0.000848   1009.58   724.07    0.094907   0.310496   68.7340    0.0942   0.9795    -0.0729   -0.0503   0.0723
133.53   1.6356   0.000847   1009.61   725.20    0.095263   0.311176   68.7337    0.0942   0.9794    -0.0729   -0.0503   0.0723
134.03   1.6365   0.000847   1009.64   726.33    0.095620   0.311857   68.7333    0.0942   0.9794    -0.0729   -0.0503   0.0723
134.53   1.6374   0.000846   1009.66   727.44    0.095976   0.312540   68.7330    0.0942   0.9794    -0.0729   -0.0503   0.0723
135.03   1.6384   0.000846   1009.69   728.55    0.096332   0.313224   68.7327    0.0942   0.9794    -0.0729   -0.0503   0.0723
135.53   1.6393   0.000845   1009.72   729.65    0.096689   0.313911   68.7324    0.0942   0.9793    -0.0729   -0.0503   0.0723
136.03   1.6402   0.000845   1009.74   730.74    0.097045   0.314599   68.7321    0.0942   0.9793    -0.0729   -0.0503   0.0723
136.53   1.6412   0.000844   1009.77   731.82    0.097401   0.315288   68.7318    0.0942   0.9793    -0.0729   -0.0503   0.0723
137.03   1.6421   0.000844   1009.80   732.90    0.097757   0.315980   68.7315    0.0942   0.9793    -0.0729   -0.0503   0.0723
137.53   1.6430   0.000844   1009.82   733.96    0.098114   0.316672   68.7312    0.0942   0.9792    -0.0729   -0.0503   0.0723
138.03   1.6439   0.000843   1009.85   735.02    0.098470   0.317366   68.7309    0.0942   0.9792    -0.0729   -0.0503   0.0723
138.53   1.6448   0.000843   1009.88   736.07    0.098826   0.318062   68.7307    0.0942   0.9792    -0.0729   -0.0503   0.0723
139.03   1.6457   0.000842   1009.90   737.11    0.099182   0.318758   68.7304    0.0942   0.9791    -0.0729   -0.0503   0.0723
139.53   1.6466   0.000842   1009.93   738.15    0.099539   0.319456   68.7302    0.0942   0.9791    -0.0730   -0.0503   0.0723
140.03   1.6475   0.000841   1009.95   739.17    0.099895   0.320156   68.7299    0.0942   0.9791    -0.0730   -0.0503   0.0723
140.53   1.6484   0.000841   1009.98   740.19    0.100251   0.320856   68.7297    0.0942   0.9791    -0.0730   -0.0503   0.0723
141.03   1.6493   0.000841   1010.01   741.21    0.100607   0.321558   68.7295    0.0942   0.9790    -0.0730   -0.0503   0.0723
141.53   1.6502   0.000840   1010.03   742.21    0.100964   0.322261   68.7292    0.0942   0.9790    -0.0730   -0.0503   0.0723
142.03   1.6511   0.000840   1010.06   743.21    0.101320   0.322965   68.7290    0.0942   0.9790    -0.0730   -0.0503   0.0723
142.53   1.6520   0.000839   1010.09   744.20    0.101676   0.323670   68.7288    0.0942   0.9790    -0.0730   -0.0503   0.0723
143.03   1.6529   0.000839   1010.11   745.19    0.102032   0.324377   68.7286    0.0942   0.9789    -0.0730   -0.0503   0.0723
143.53   1.6538   0.000838   1010.14   746.16    0.102388   0.325084   68.7284    0.0942   0.9789    -0.0730   -0.0503   0.0723
144.03   1.6547   0.000838   1010.16   747.13    0.102744   0.325792   68.7282    0.0942   0.9789    -0.0730   -0.0503   0.0723
144.53   1.6556   0.000838   1010.19   748.10    0.103101   0.326502   68.7280    0.0942   0.9789    -0.0730   -0.0503   0.0723
145.03   1.6565   0.000837   1010.22   749.06    0.103457   0.327212   68.7279    0.0942   0.9789    -0.0730   -0.0503   0.0723
145.53   1.6573   0.000837   1010.24   750.01    0.103813   0.327923   68.7277    0.0942   0.9788    -0.0730   -0.0503   0.0723
146.03   1.6582   0.000836   1010.27   750.96    0.104169   0.328635   68.7275    0.0942   0.9788    -0.0730   -0.0503   0.0723
146.53   1.6591   0.000836   1010.29   751.90    0.104525   0.329348   68.7274    0.0942   0.9788    -0.0730   -0.0503   0.0723
147.03   1.6599   0.000836   1010.32   752.83    0.104881   0.330062   68.7272    0.0942   0.9788    -0.0730   -0.0503   0.0723
147.53   1.6608   0.000835   1010.35   753.76    0.105237   0.330777   68.7271    0.0942   0.9787    -0.0730   -0.0503   0.0723
148.03   1.6617   0.000835   1010.37   754.68    0.105593   0.331492   68.7269    0.0942   0.9787    -0.0730   -0.0503   0.0723
148.53   1.6625   0.000834   1010.40   755.60    0.105949   0.332208   68.7268    0.0942   0.9787    -0.0730   -0.0503   0.0723
149.03   1.6634   0.000834   1010.42   756.51    0.106306   0.332925   68.7266    0.0942   0.9787    -0.0730   -0.0503   0.0723
149.53   1.6643   0.000834   1010.45   757.42    0.106662   0.333643   68.7265    0.0942   0.9786    -0.0730   -0.0503   0.0723
150.03   1.6651   0.000833   1010.48   758.32    0.107018   0.334361   68.7264    0.0942   0.9786    -0.0730   -0.0503   0.0723
150.53   1.6660   0.000833   1010.50   759.21    0.107374   0.335080   68.7263    0.0942   0.9786    -0.0730   -0.0503   0.0723
